metric,mean,std
loss,0.7316058278083801,0.09426414508777478
accuracy,0.6888888888888889,0.050674463337739464
f1,0.5197792373654442,0.1223766764212589
precision,0.5313747846356541,0.10262289204883512
recall,0.5202450980392157,0.15943295689152762
roc_auc,0.6998494220676775,0.041417545461815634
