fold,loss,accuracy,precision,recall,f1,bal_acc,roc_auc,ppr
1,0.6550644040107727,0.6444444444444445,0.0,0.0,0.0,0.5,0.6422413793103449,0.0
2,0.6742770075798035,0.6444444444444445,0.5,0.0625,0.1111111111111111,0.5140086206896552,0.3943965517241379,0.044444444444444446
3,0.689670205116272,0.6444444444444445,0.0,0.0,0.0,0.5,0.5064655172413793,0.0
4,0.6910461187362671,0.6,0.4,0.4,0.4,0.55,0.46444444444444444,0.3333333333333333
5,0.6645124554634094,0.6888888888888889,1.0,0.06666666666666667,0.125,0.5333333333333333,0.6799999999999999,0.022222222222222223
mean,0.6749140381813049,0.6444444444444445,0.38,0.10583333333333333,0.1272222222222222,0.5194683908045977,0.5375095785440612,0.07999999999999999
std,0.014004250735921828,0.028109134757052262,0.3709447398198282,0.14989811354531601,0.14631692306534005,0.019556386998293044,0.10775514494181641,0.12773429211733256
