split,loss,accuracy,precision,recall,f1,balanced_accuracy,roc_auc
train,0.6573678851127625,0.7197452229299363,0.625,0.46296296296296297,0.5319148936170213,0.6586659475008989,0.7339086659475008
val,0.6573079228401184,0.7352941176470589,0.6666666666666666,0.5,0.5714285714285714,0.6818181818181819,0.6893939393939393
test,0.6662396788597107,0.7941176470588235,0.8571428571428571,0.5,0.631578947368421,0.7272727272727273,0.606060606060606
