hidden_dim,num_layers,dropout,lr,weight_decay,split,score,loss,accuracy,precision,recall,f1,bal_acc,roc_auc,ppr
32,2,0.0,0.0001,0.0001,train,,0.46618714928627014,0.8471337579617835,0.9166666666666666,0.6111111111111112,0.7333333333333333,0.7909924487594391,0.8703703703703703,0.22929936305732485
32,2,0.0,0.0001,0.0001,val,0.9321969696969696,0.5793278813362122,0.7941176470588235,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7462121212121212,0.6818181818181818,0.2647058823529412
32,2,0.0,0.0001,0.0001,test,,0.7392470240592957,0.6176470588235294,0.4,0.16666666666666666,0.23529411764705882,0.5151515151515151,0.4356060606060606,0.14705882352941177
32,2,0.0,0.0003,0.0001,train,,0.3576967418193817,0.8980891719745223,0.9523809523809523,0.7407407407407407,0.8333333333333334,0.8606616325062927,0.9525350593311759,0.267515923566879
32,2,0.0,0.0003,0.0001,val,0.965530303030303,0.6143084168434143,0.7058823529411765,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.678030303030303,0.6704545454545454,0.35294117647058826
32,2,0.0,0.0003,0.0001,test,,0.7827181816101074,0.6470588235294118,0.5,0.3333333333333333,0.4,0.5757575757575758,0.4962121212121212,0.23529411764705882
32,2,0.0,0.001,0.0001,train,,0.2530366778373718,0.9490445859872612,1.0,0.8518518518518519,0.92,0.9259259259259259,0.9857964760877382,0.2929936305732484
32,2,0.0,0.001,0.0001,val,0.8492259552042161,0.6491422653198242,0.6764705882352942,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6174242424242424,0.6098484848484848,0.2647058823529412
32,2,0.0,0.001,0.0001,test,,0.9494891166687012,0.5588235294117647,0.2857142857142857,0.16666666666666666,0.21052631578947367,0.46969696969696967,0.49242424242424243,0.20588235294117646
32,2,0.0,0.003,0.0001,train,,0.028388861566781998,1.0,1.0,1.0,1.0,1.0,1.0,0.34394904458598724
32,2,0.0,0.003,0.0001,val,0.8363636363636363,1.1376264095306396,0.6764705882352942,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6174242424242424,0.6893939393939394,0.2647058823529412
32,2,0.0,0.003,0.0001,test,,1.5625908374786377,0.6764705882352942,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.5984848484848485,0.6325757575757576,0.20588235294117646
32,2,0.2,0.0001,0.0001,train,,0.5001476407051086,0.8152866242038217,0.8048780487804879,0.6111111111111112,0.6947368421052632,0.7667206040992449,0.7959367134124415,0.2611464968152866
32,2,0.2,0.0001,0.0001,val,0.8123376623376624,0.573864221572876,0.7058823529411765,0.625,0.4166666666666667,0.5,0.6401515151515151,0.6893939393939394,0.23529411764705882
32,2,0.2,0.0001,0.0001,test,,0.7120950818061829,0.6764705882352942,0.5714285714285714,0.3333333333333333,0.42105263157894735,0.5984848484848485,0.49242424242424243,0.20588235294117646
32,2,0.2,0.0003,0.0001,train,,0.4066351652145386,0.821656050955414,0.7954545454545454,0.6481481481481481,0.7142857142857143,0.7803847536857246,0.9002157497303128,0.2802547770700637
32,2,0.2,0.0003,0.0001,val,0.8333333333333333,0.6455210447311401,0.7058823529411765,0.6,0.5,0.5454545454545454,0.6590909090909092,0.5492424242424242,0.29411764705882354
32,2,0.2,0.0003,0.0001,test,,0.8535027503967285,0.6176470588235294,0.42857142857142855,0.25,0.3157894736842105,0.5340909090909092,0.43181818181818177,0.20588235294117646
32,2,0.2,0.001,0.0001,train,,0.16130107641220093,0.9872611464968153,1.0,0.9629629629629629,0.9811320754716981,0.9814814814814814,0.9928083423229053,0.33121019108280253
32,2,0.2,0.001,0.0001,val,0.859074440052701,0.6404681205749512,0.6470588235294118,0.5,0.5,0.5,0.6136363636363636,0.7310606060606061,0.35294117647058826
32,2,0.2,0.001,0.0001,test,,0.8800106048583984,0.6764705882352942,0.5555555555555556,0.4166666666666667,0.47619047619047616,0.6174242424242424,0.6477272727272727,0.2647058823529412
32,2,0.2,0.003,0.0001,train,,0.41255781054496765,0.821656050955414,1.0,0.48148148148148145,0.65,0.7407407407407407,0.9029126213592232,0.16560509554140126
32,2,0.2,0.003,0.0001,val,0.8259259259259258,0.7209299802780151,0.7352941176470589,0.8,0.3333333333333333,0.47058823529411764,0.6439393939393939,0.6439393939393939,0.14705882352941177
32,2,0.2,0.003,0.0001,test,,0.9335922598838806,0.6764705882352942,0.6,0.25,0.35294117647058826,0.5795454545454546,0.5227272727272727,0.14705882352941177
32,2,0.4,0.0001,0.0001,train,,0.4697834551334381,0.8152866242038217,0.8571428571428571,0.5555555555555556,0.6741573033707865,0.7535059331175836,0.8148148148148148,0.2229299363057325
32,2,0.4,0.0001,0.0001,val,0.8325757575757575,0.6305206418037415,0.7352941176470589,0.6666666666666666,0.5,0.5714285714285714,0.6818181818181819,0.5606060606060606,0.2647058823529412
32,2,0.4,0.0001,0.0001,test,,0.8200977444648743,0.6764705882352942,0.6,0.25,0.35294117647058826,0.5795454545454546,0.45454545454545453,0.14705882352941177
32,2,0.4,0.0003,0.0001,train,,0.4350568950176239,0.8152866242038217,0.7777777777777778,0.6481481481481481,0.7070707070707071,0.7755303847536857,0.8820568140956491,0.28662420382165604
32,2,0.4,0.0003,0.0001,val,0.8287655971479502,0.6142287254333496,0.6470588235294118,0.5,0.4166666666666667,0.45454545454545453,0.5946969696969697,0.6287878787878788,0.29411764705882354
32,2,0.4,0.0003,0.0001,test,,0.8108229637145996,0.5882352941176471,0.375,0.25,0.3,0.5113636363636364,0.4431818181818182,0.23529411764705882
