fold,loss,accuracy,f1,precision,recall,roc_auc
1,0.814271092414856,0.6,0.55,0.4782608695652174,0.6470588235294118,0.6827731092436974
2,0.6212819218635559,0.7111111111111111,0.5185185185185185,0.5833333333333334,0.4666666666666667,0.7444444444444445
3,0.8197692632675171,0.7333333333333333,0.3333333333333333,0.375,0.3,0.6628571428571428
4,0.612413763999939,0.7333333333333333,0.7142857142857143,0.6818181818181818,0.75,0.754
5,0.7902930974960327,0.6666666666666666,0.4827586206896552,0.5384615384615384,0.4375,0.6551724137931034
