hidden,layers,dropout,lr,weight_decay,val_auc,test_auc,test_acc,test_f1,test_prec,test_rec
64,2,0.1,0.001,0.0001,0.7121212121212122,0.5303030303030303,0.6470588235294118,0.4,0.5,0.3333333333333333
64,2,0.1,0.001,5e-05,0.6098484848484849,0.49242424242424243,0.6764705882352942,0.42105263157894735,0.5714285714285714,0.3333333333333333
64,2,0.1,0.0003,0.0001,0.6818181818181819,0.4734848484848485,0.5882352941176471,0.3,0.375,0.25
64,2,0.1,0.0003,5e-05,0.6098484848484849,0.5909090909090909,0.6764705882352942,0.47619047619047616,0.5555555555555556,0.4166666666666667
64,2,0.25,0.001,0.0001,0.6818181818181819,0.5340909090909091,0.5,0.48484848484848486,0.38095238095238093,0.6666666666666666
64,2,0.25,0.001,5e-05,0.7575757575757576,0.6856060606060606,0.4117647058823529,0.47368421052631576,0.34615384615384615,0.75
64,2,0.25,0.0003,0.0001,0.6553030303030303,0.6325757575757576,0.6764705882352942,0.47619047619047616,0.5555555555555556,0.4166666666666667
64,2,0.25,0.0003,5e-05,0.7878787878787878,0.6212121212121212,0.6470588235294118,0.4,0.5,0.3333333333333333
64,2,0.4,0.001,0.0001,0.6401515151515151,0.5113636363636364,0.6470588235294118,0.4,0.5,0.3333333333333333
64,2,0.4,0.001,5e-05,0.6818181818181819,0.5833333333333334,0.5294117647058824,0.4666666666666667,0.3888888888888889,0.5833333333333334
64,2,0.4,0.0003,0.0001,0.7007575757575757,0.6136363636363636,0.47058823529411764,0.5263157894736842,0.38461538461538464,0.8333333333333334
64,2,0.4,0.0003,5e-05,0.7765151515151515,0.5568181818181818,0.6470588235294118,0.25,0.5,0.16666666666666666
64,3,0.1,0.001,0.0001,0.6363636363636364,0.428030303030303,0.6176470588235294,0.13333333333333333,0.3333333333333333,0.08333333333333333
64,3,0.1,0.001,5e-05,0.75,0.4810606060606061,0.6470588235294118,0.25,0.5,0.16666666666666666
64,3,0.1,0.0003,0.0001,0.6931818181818181,0.5151515151515151,0.6176470588235294,0.3157894736842105,0.42857142857142855,0.25
64,3,0.1,0.0003,5e-05,0.6856060606060607,0.5871212121212122,0.6470588235294118,0.4,0.5,0.3333333333333333
64,3,0.25,0.001,0.0001,0.7651515151515151,0.4242424242424242,0.5588235294117647,0.34782608695652173,0.36363636363636365,0.3333333333333333
64,3,0.25,0.001,5e-05,0.6553030303030303,0.5265151515151515,0.7058823529411765,0.5454545454545454,0.6,0.5
64,3,0.25,0.0003,0.0001,0.7234848484848486,0.5454545454545454,0.6470588235294118,0.45454545454545453,0.5,0.4166666666666667
64,3,0.25,0.0003,5e-05,0.6856060606060606,0.7386363636363635,0.6176470588235294,0.5806451612903226,0.47368421052631576,0.75
64,3,0.4,0.001,0.0001,0.8219696969696969,0.3977272727272727,0.6176470588235294,0.13333333333333333,0.3333333333333333,0.08333333333333333
64,3,0.4,0.001,5e-05,0.7575757575757576,0.5643939393939394,0.7352941176470589,0.47058823529411764,0.8,0.3333333333333333
64,3,0.4,0.0003,0.0001,0.8636363636363636,0.5530303030303031,0.35294117647058826,0.47619047619047616,0.3333333333333333,0.8333333333333334
64,3,0.4,0.0003,5e-05,0.6742424242424243,0.46212121212121215,0.47058823529411764,0.35714285714285715,0.3125,0.4166666666666667
64,4,0.1,0.001,0.0001,0.7007575757575757,0.4696969696969697,0.6176470588235294,0.43478260869565216,0.45454545454545453,0.4166666666666667
64,4,0.1,0.001,5e-05,0.7159090909090909,0.3522727272727273,0.5294117647058824,0.2,0.25,0.16666666666666666
64,4,0.1,0.0003,0.0001,0.7007575757575758,0.5492424242424242,0.6470588235294118,0.5,0.5,0.5
64,4,0.1,0.0003,5e-05,0.6363636363636364,0.6287878787878788,0.7352941176470589,0.6086956521739131,0.6363636363636364,0.5833333333333334
64,4,0.25,0.001,0.0001,0.7613636363636365,0.5075757575757576,0.4411764705882353,0.3870967741935484,0.3157894736842105,0.5
64,4,0.25,0.001,5e-05,0.7234848484848485,0.5492424242424242,0.6764705882352942,0.56,0.5384615384615384,0.5833333333333334
64,4,0.25,0.0003,0.0001,0.7007575757575757,0.42045454545454547,0.5882352941176471,0.3,0.375,0.25
64,4,0.25,0.0003,5e-05,0.7803030303030303,0.534090909090909,0.5882352941176471,0.4166666666666667,0.4166666666666667,0.4166666666666667
64,4,0.4,0.001,0.0001,0.678030303030303,0.4810606060606061,0.6470588235294118,0.0,0.0,0.0
64,4,0.4,0.001,5e-05,0.7121212121212122,0.375,0.6470588235294118,0.0,0.0,0.0
64,4,0.4,0.0003,0.0001,0.8219696969696969,0.6515151515151515,0.3235294117647059,0.4888888888888889,0.3333333333333333,0.9166666666666666
64,4,0.4,0.0003,5e-05,0.7613636363636364,0.5681818181818181,0.5588235294117647,0.4827586206896552,0.4117647058823529,0.5833333333333334
128,2,0.1,0.001,0.0001,0.6174242424242424,0.4242424242424242,0.5882352941176471,0.3,0.375,0.25
128,2,0.1,0.001,5e-05,0.6022727272727273,0.6174242424242424,0.5882352941176471,0.5333333333333333,0.4444444444444444,0.6666666666666666
128,2,0.1,0.0003,0.0001,0.6363636363636364,0.5871212121212122,0.6764705882352942,0.42105263157894735,0.5714285714285714,0.3333333333333333
128,2,0.1,0.0003,5e-05,0.6893939393939393,0.5606060606060607,0.6470588235294118,0.4,0.5,0.3333333333333333
128,2,0.25,0.001,0.0001,0.6590909090909091,0.4962121212121212,0.6176470588235294,0.43478260869565216,0.45454545454545453,0.4166666666666667
128,2,0.25,0.001,5e-05,0.6856060606060607,0.5340909090909091,0.5588235294117647,0.4827586206896552,0.4117647058823529,0.5833333333333334
128,2,0.25,0.0003,0.0001,0.7575757575757576,0.5113636363636364,0.6470588235294118,0.4,0.5,0.3333333333333333
128,2,0.25,0.0003,5e-05,0.7045454545454546,0.5909090909090909,0.6176470588235294,0.48,0.46153846153846156,0.5
128,2,0.4,0.001,0.0001,0.7462121212121211,0.571969696969697,0.4117647058823529,0.4117647058823529,0.3181818181818182,0.5833333333333334
128,2,0.4,0.001,5e-05,0.7121212121212122,0.5340909090909092,0.38235294117647056,0.4,0.30434782608695654,0.5833333333333334
128,2,0.4,0.0003,0.0001,0.7651515151515151,0.5909090909090908,0.6470588235294118,0.45454545454545453,0.5,0.4166666666666667
128,2,0.4,0.0003,5e-05,0.731060606060606,0.49242424242424243,0.5882352941176471,0.46153846153846156,0.42857142857142855,0.5
128,3,0.1,0.001,0.0001,0.7613636363636364,0.42803030303030304,0.6470588235294118,0.3333333333333333,0.5,0.25
128,3,0.1,0.001,5e-05,0.7159090909090909,0.4810606060606061,0.5588235294117647,0.34782608695652173,0.36363636363636365,0.3333333333333333
128,3,0.1,0.0003,0.0001,0.6931818181818182,0.5909090909090909,0.6470588235294118,0.3333333333333333,0.5,0.25
128,3,0.1,0.0003,5e-05,0.6477272727272728,0.45833333333333326,0.6176470588235294,0.23529411764705882,0.4,0.16666666666666666
128,3,0.25,0.001,0.0001,0.6969696969696969,0.5909090909090909,0.47058823529411764,0.5,0.375,0.75
128,3,0.25,0.001,5e-05,0.8219696969696969,0.48484848484848486,0.47058823529411764,0.35714285714285715,0.3125,0.4166666666666667
128,3,0.25,0.0003,0.0001,0.678030303030303,0.47727272727272724,0.6176470588235294,0.38095238095238093,0.4444444444444444,0.3333333333333333
128,3,0.25,0.0003,5e-05,0.7007575757575757,0.5416666666666666,0.5882352941176471,0.46153846153846156,0.42857142857142855,0.5
128,3,0.4,0.001,0.0001,0.7234848484848485,0.5681818181818181,0.6176470588235294,0.5185185185185185,0.4666666666666667,0.5833333333333334
128,3,0.4,0.001,5e-05,0.6325757575757576,0.4545454545454546,0.6470588235294118,0.4,0.5,0.3333333333333333
128,3,0.4,0.0003,0.0001,0.7954545454545455,0.5189393939393939,0.35294117647058826,0.45,0.32142857142857145,0.75
128,3,0.4,0.0003,5e-05,0.6742424242424242,0.4507575757575758,0.5882352941176471,0.36363636363636365,0.4,0.3333333333333333
128,4,0.1,0.001,0.0001,0.7916666666666667,0.4393939393939394,0.6176470588235294,0.3157894736842105,0.42857142857142855,0.25
128,4,0.1,0.001,5e-05,0.7083333333333333,0.39015151515151514,0.5882352941176471,0.36363636363636365,0.4,0.3333333333333333
128,4,0.1,0.0003,0.0001,0.7462121212121212,0.4659090909090909,0.6764705882352942,0.42105263157894735,0.5714285714285714,0.3333333333333333
128,4,0.1,0.0003,5e-05,0.7613636363636364,0.6363636363636364,0.6470588235294118,0.5384615384615384,0.5,0.5833333333333334
128,4,0.25,0.001,0.0001,0.625,0.40530303030303033,0.5294117647058824,0.2727272727272727,0.3,0.25
128,4,0.25,0.001,5e-05,0.7424242424242424,0.5719696969696969,0.6176470588235294,0.48,0.46153846153846156,0.5
128,4,0.25,0.0003,0.0001,0.6704545454545454,0.5227272727272727,0.5882352941176471,0.46153846153846156,0.42857142857142855,0.5
128,4,0.25,0.0003,5e-05,0.7310606060606061,0.5265151515151515,0.6764705882352942,0.42105263157894735,0.5714285714285714,0.3333333333333333
128,4,0.4,0.001,0.0001,0.7159090909090908,0.6136363636363636,0.7058823529411765,0.5454545454545454,0.6,0.5
128,4,0.4,0.001,5e-05,0.6856060606060607,0.26136363636363635,0.6470588235294118,0.0,0.0,0.0
128,4,0.4,0.0003,0.0001,0.8522727272727273,0.5984848484848485,0.6470588235294118,0.5384615384615384,0.5,0.5833333333333334
128,4,0.4,0.0003,5e-05,0.7462121212121212,0.5681818181818182,0.6764705882352942,0.5217391304347826,0.5454545454545454,0.5
256,2,0.1,0.001,0.0001,0.6401515151515151,0.43560606060606055,0.6176470588235294,0.3157894736842105,0.42857142857142855,0.25
256,2,0.1,0.001,5e-05,0.6022727272727273,0.42803030303030304,0.5588235294117647,0.2857142857142857,0.3333333333333333,0.25
256,2,0.1,0.0003,0.0001,0.7386363636363635,0.40909090909090906,0.6176470588235294,0.23529411764705882,0.4,0.16666666666666666
256,2,0.1,0.0003,5e-05,0.7727272727272727,0.46212121212121215,0.6470588235294118,0.25,0.5,0.16666666666666666
256,2,0.25,0.001,0.0001,0.6969696969696969,0.5303030303030303,0.4117647058823529,0.47368421052631576,0.34615384615384615,0.75
256,2,0.25,0.001,5e-05,0.5416666666666666,0.5151515151515151,0.5588235294117647,0.11764705882352941,0.2,0.08333333333333333
256,2,0.25,0.0003,0.0001,0.696969696969697,0.5075757575757576,0.5588235294117647,0.4444444444444444,0.4,0.5
256,2,0.25,0.0003,5e-05,0.7083333333333333,0.4734848484848485,0.5882352941176471,0.36363636363636365,0.4,0.3333333333333333
256,2,0.4,0.001,0.0001,0.7272727272727272,0.40909090909090906,0.5294117647058824,0.2,0.25,0.16666666666666666
256,2,0.4,0.001,5e-05,0.7462121212121211,0.4431818181818182,0.6470588235294118,0.3333333333333333,0.5,0.25
256,2,0.4,0.0003,0.0001,0.7007575757575757,0.5075757575757576,0.6470588235294118,0.45454545454545453,0.5,0.4166666666666667
256,2,0.4,0.0003,5e-05,0.7121212121212122,0.4734848484848485,0.6176470588235294,0.38095238095238093,0.4444444444444444,0.3333333333333333
256,3,0.1,0.001,0.0001,0.5833333333333334,0.38636363636363635,0.5882352941176471,0.125,0.25,0.08333333333333333
256,3,0.1,0.001,5e-05,0.7386363636363636,0.5833333333333334,0.6470588235294118,0.45454545454545453,0.5,0.4166666666666667
256,3,0.1,0.0003,0.0001,0.6515151515151515,0.37499999999999994,0.6470588235294118,0.14285714285714285,0.5,0.08333333333333333
256,3,0.1,0.0003,5e-05,0.7159090909090908,0.38636363636363635,0.6176470588235294,0.23529411764705882,0.4,0.16666666666666666
256,3,0.25,0.001,0.0001,0.7083333333333334,0.4772727272727273,0.6470588235294118,0.25,0.5,0.16666666666666666
256,3,0.25,0.001,5e-05,0.6742424242424242,0.5265151515151515,0.6764705882352942,0.47619047619047616,0.5555555555555556,0.4166666666666667
256,3,0.25,0.0003,0.0001,0.6780303030303031,0.5227272727272727,0.5,0.37037037037037035,0.3333333333333333,0.4166666666666667
256,3,0.25,0.0003,5e-05,0.7121212121212122,0.3939393939393939,0.5882352941176471,0.125,0.25,0.08333333333333333
256,3,0.4,0.001,0.0001,0.6363636363636365,0.4507575757575758,0.6470588235294118,0.25,0.5,0.16666666666666666
256,3,0.4,0.001,5e-05,0.7424242424242424,0.5227272727272727,0.6764705882352942,0.42105263157894735,0.5714285714285714,0.3333333333333333
256,3,0.4,0.0003,0.0001,0.6590909090909092,0.5492424242424243,0.47058823529411764,0.4,0.3333333333333333,0.5
256,3,0.4,0.0003,5e-05,0.696969696969697,0.6060606060606061,0.47058823529411764,0.5,0.375,0.75
256,4,0.1,0.001,0.0001,0.6477272727272727,0.5113636363636364,0.5882352941176471,0.4166666666666667,0.4166666666666667,0.4166666666666667
256,4,0.1,0.001,5e-05,0.8068181818181819,0.6893939393939393,0.5,0.5641025641025641,0.4074074074074074,0.9166666666666666
256,4,0.1,0.0003,0.0001,0.7348484848484849,0.49621212121212127,0.5294117647058824,0.42857142857142855,0.375,0.5
256,4,0.1,0.0003,5e-05,0.7613636363636364,0.4621212121212121,0.4117647058823529,0.4117647058823529,0.3181818181818182,0.5833333333333334
256,4,0.25,0.001,0.0001,0.7916666666666666,0.6969696969696969,0.7058823529411765,0.5833333333333334,0.5833333333333334,0.5833333333333334
256,4,0.25,0.001,5e-05,0.784090909090909,0.4962121212121212,0.6470588235294118,0.25,0.5,0.16666666666666666
256,4,0.25,0.0003,0.0001,0.6666666666666666,0.6022727272727273,0.4117647058823529,0.47368421052631576,0.34615384615384615,0.75
256,4,0.25,0.0003,5e-05,0.6553030303030303,0.5568181818181818,0.5294117647058824,0.4666666666666667,0.3888888888888889,0.5833333333333334
256,4,0.4,0.001,0.0001,0.6893939393939393,0.22727272727272724,0.6470588235294118,0.0,0.0,0.0
256,4,0.4,0.001,5e-05,0.6628787878787878,0.45833333333333337,0.6470588235294118,0.14285714285714285,0.5,0.08333333333333333
256,4,0.4,0.0003,0.0001,0.7916666666666667,0.4810606060606061,0.6470588235294118,0.25,0.5,0.16666666666666666
256,4,0.4,0.0003,5e-05,0.75,0.5681818181818182,0.38235294117647056,0.43243243243243246,0.32,0.6666666666666666
