split,accuracy,f1,precision,recall,roc_auc
train,0.9936305732484076,0.9906542056074766,1.0,0.9814814814814815,0.9999101042790364
val,0.7058823529411765,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7045454545454546
test,0.8235294117647058,0.75,0.75,0.75,0.8446969696969696
