split,accuracy,f1,precision,recall,roc_auc
train,0.993421052631579,0.9904761904761905,1.0,0.9811320754716981,0.9999047074518773
val,0.7948717948717948,0.7142857142857143,0.6666666666666666,0.7692307692307693,0.8520710059171598
test,0.7647058823529411,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7803030303030303
