split,accuracy,f1,precision,recall,roc_auc
train,0.993421052631579,0.9906542056074766,0.9814814814814815,1.0,0.9999047074518772
val,0.7948717948717948,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.8920118343195267
test,0.8235294117647058,0.6666666666666666,1.0,0.5,0.8863636363636364
